Wort,Count,Lemma,Pos,Number,Case,Gender,VerbForm,Person,Mood,Tense,Degree,PronType,Foreign,Poss,Definite,Reflex
ihnen,59,ihnen,PRON,Plur,Dat,,,3,,,,Prs,,,,
zeit,58,Zeit,NOUN,Sing,Nom,Fem,,,,,,,,,,
alles,57,alle,PRON,Sing,Nom,Neut,,,,,,Ind,,,,
gibt,56,geben,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
man,56,man,PRON,Sing,Nom,,,,,,,Ind,,,,
muss,55,Muss,PROPN,Sing,Nom,Masc,,,,,,,,,,
zum,52,zu,ADP,Sing,Dat,Masc,,,,,,,,,,
los,51,los,ADV,,,,,,,,,,,,,
sehen,50,sehen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
sehr,49,sehr,ADV,,,,,,,,,,,,,
auch,48,auch,ADV,,,,,,,,,,,,,
wirklich,47,wirklich,ADV,,,,,,,,Pos,,,,,
tut,47,tun,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
hallo,47,Hallo,PROPN,Sing,Nom,,,,,,,,,,,
werde,46,werden,AUX,Sing,,,Fin,3,Sub,Pres,,,,,,
bei,46,bei,ADP,,,,,,,,,,,,,
bitte,46,bitte,ADV,,,,,,,,,,,,,
kommen,45,kommen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
nichts,45,nichts,PRON,,,Neut,,,,,,Ind,,,,
einfach,45,einfach,ADV,,,,,,,,Pos,,,,,
weg,44,Weg,ADV,,,,,,,,,,,,,
einem,44,einer,PRON,Sing,Dat,Masc,,,,,,Ind,,,,
diese,44,dieser,PRON,Sing,Nom,Fem,,,,,,Dem,,,,
des,43,der,DET,Sing,Gen,Masc,,,,,,Art,,,Def,
wieder,43,wieder,ADV,,,,,,,,,,,,,
tun,43,tun,VERB,,,,Inf,,,,,,,,,
nach,42,nach,ADP,,,,,,,,,,,,,
mehr,42,mehr,ADV,,,,,,,,,,,,,
am,40,an,ADP,Sing,Dat,Masc,,,,,,,,,,
mann,40,Mann,NOUN,Sing,Nom,Masc,,,,,,,,,,
kein,40,kein,DET,Sing,Nom,Masc,,,,,,Ind,,,,
vor,39,vor,ADP,,,,,,,,,,,,,
ihre,39,ihr,DET,Sing,Nom,Fem,,,,,,Prs,,Yes,,
leben,39,leben,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
ihm,38,ihm,PRON,Sing,Dat,Masc,,3,,,,Prs,,,,
denn,37,denn,CCONJ,,,,,,,,,,,,,
menschen,37,Mensch,NOUN,Plur,Nom,Masc,,,,,,,,,,
sicher,37,sicher,ADV,,,,,,,,Pos,,,,,
durch,37,durch,ADP,,,,,,,,,,,,,
einer,36,einer,PRON,Sing,Nom,Masc,,,,,,Ind,,,,
geht,36,gehen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
nie,36,nie,ADV,,,,,,,,,,,,,
kannst,36,Kannst,PROPN,Sing,Nom,Masc,,,,,,,,,,
weil,35,weil,SCONJ,,,,,,,,,,,,,
time,34,time,NOUN,Sing,Nom,Neut,,,,,,,,,,
wissen,34,wissen,VERB,,,,Inf,,,,,,,,,
will,34,wollen,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
machen,33,machen,VERB,,,,Inf,,,,,,,,,
ganz,33,ganz,ADV,,,,,,,,,,,,,
ganger,33,gang,ADV,,,,,,,,Cmp,,,,,
leid,32,Leid,NOUN,Sing,Nom,Neut,,,,,,,,,,
lassen,32,lassen,VERB,,,,Inf,,,,,,,,,
dieser,32,dieser,PRON,Sing,Nom,Masc,,,,,,Dem,,,,
sollte,32,sollen,AUX,Sing,,,Fin,3,Sub,Past,,,,,,
jennifer,32,jennifer,NOUN,Sing,Nom,Masc,,,,,,,,,,
danke,31,danke,NOUN,Sing,Nom,Fem,,,,,,,,,,
zwei,29,zwei,NUM,,,,,,,,,,,,,
sagte,29,sagen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
kommt,29,kommen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
komm,29,Komm,VERB,Sing,,,,2,Imp,,,,,,,
viel,29,viel,PRON,,,,,,,,,Ind,,,,
mr,29,mr,NOUN,Sing,Nom,Masc,,,,,,,,,,
wirst,29,wirst,AUX,Sing,,,Fin,2,Ind,Pres,,,,,,
lange,29,lange,ADV,,,,,,,,,,,,,
flesh,29,Flesh,NOUN,Sing,Nom,Neut,,,,,,,,,,
genau,28,genau,ADV,,,,,,,,Pos,,,,,
vielleicht,28,vielleicht,ADV,,,,,,,,,,,,,
sofort,28,sofort,ADV,,,,,,,,,,,,,
seid,28,sein,AUX,Plur,,,Fin,2,Ind,Pres,,,,,,
habt,27,haben,AUX,Plur,,,Fin,2,Ind,Pres,,,,,,
gesehen,27,sehen,VERB,,,,Part,,,,,,,,,
hey,27,hey,PROPN,Sing,Nom,,,,,,,,,,,
seht,27,sehen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
denke,26,denken,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
deine,26,dein,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
